genome	rate	S_alg	k	d	M_alg	M_compr_alg	kmer_count	l	o	z	r	tigs_ns	tigs_cl	enc0_xz_bytes	S_xz_bytes	M_compr_bytes	enc1_compr_bytes	enc2_xz_bytes	pref
escherichia_coli.k32	0.01	eulertigs	31	na	runsapprox	xz	1622989	49814809	1625910	48188899	1609309	1606394	49814809	13592668	12468068	69528	12537596	13788496	escherichia_coli.k32.r_0.01.S_eulertigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.05	eulertigs	31	na	default	bzip	8114946	239218806	8114946	231103860	7703462	7703462	239218806	62501696	57026188	487340	57513528	63630552	escherichia_coli.k32.r_0.05.S_eulertigs.k_31.d_na.M_default.C_bzip
escherichia_coli.k32	0.05	eulertigs	31	na	default	xz	8114946	239218806	8114946	231103860	7703462	7703462	239218806	62501696	57026188	881020	57907208	63630552	escherichia_coli.k32.r_0.05.S_eulertigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.05	eulertigs	31	na	ones	bzip	8114946	239218806	8184504	231034302	7771863	7703462	239218806	62501696	57026188	600734	57626922	63664856	escherichia_coli.k32.r_0.05.S_eulertigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.05	eulertigs	31	na	ones	xz	8114946	239218806	8184504	231034302	7771863	7703462	239218806	62501696	57026188	1159192	58185380	63664856	escherichia_coli.k32.r_0.05.S_eulertigs.k_31.d_na.M_ones.C_xz
escherichia_coli.k32	0.05	eulertigs	31	na	runsapprox	bzip	8114946	239218806	8184504	231034302	7771863	7703462	239218806	62501696	57026188	600734	57626922	63664856	escherichia_coli.k32.r_0.05.S_eulertigs.k_31.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.05	eulertigs	31	na	runsapprox	xz	8114946	239218806	8184504	231034302	7771863	7703462	239218806	62501696	57026188	1159192	58185380	63664856	escherichia_coli.k32.r_0.05.S_eulertigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.1	eulertigs	31	na	default	bzip	16229893	453816733	16229893	437586840	14586228	14586228	453816733	117130096	106791392	1478198	108269590	119718092	escherichia_coli.k32.r_0.1.S_eulertigs.k_31.d_na.M_default.C_bzip
escherichia_coli.k32	0.1	eulertigs	31	na	default	xz	16229893	453816733	16229893	437586840	14586228	14586228	453816733	117130096	106791392	2734372	109525764	119718092	escherichia_coli.k32.r_0.1.S_eulertigs.k_31.d_na.M_default.C_xz
escherichia_coli.k32	0.1	eulertigs	31	na	ones	bzip	16229893	453816733	16492890	437323843	14840824	14586228	453816733	117130096	106791392	1858808	108650200	119952024	escherichia_coli.k32.r_0.1.S_eulertigs.k_31.d_na.M_ones.C_bzip
escherichia_coli.k32	0.1	eulertigs	31	na	ones	xz	16229893	453816733	16492890	437323843	14840824	14586228	453816733	117130096	106791392	3603536	110394928	119952024	escherichia_coli.k32.r_0.1.S_eulertigs.k_31.d_na.M_ones.C_xz
escherichia_coli.k32	0.1	eulertigs	31	na	runsapprox	bzip	16229893	453816733	16492890	437323843	14840824	14586228	453816733	117130096	106791392	1858808	108650200	119952024	escherichia_coli.k32.r_0.1.S_eulertigs.k_31.d_na.M_runsapprox.C_bzip
escherichia_coli.k32	0.1	eulertigs	31	na	runsapprox	xz	16229893	453816733	16492890	437323843	14840824	14586228	453816733	117130096	106791392	3603536	110394928	119952024	escherichia_coli.k32.r_0.1.S_eulertigs.k_31.d_na.M_runsapprox.C_xz
escherichia_coli.k32	0.2	eulertigs	31	na	default	bzip	32459787	809702277	32459787	777242490	25908083	25908083	809702277	208456788	189730468	4156789	193887257	214530408	escherichia_coli.k32.r_0.2.S_eulertigs.k_31.d_na.M_default.C_bzip
