genome	k	S_alg	algorithm	camel_DS	d	M_alg	kmer_count	l	o	z	r	S_xz_bytes	M_xz_bytes	enc1_xz_bytes	enc2_xz_bytes	camel_mem_bytes	camel_real_s	camel_usr_s	camel_sys_s	pref0	pref
spneumoniae	3	pseudosimplitigsAC	loc-greedy	AC	2	default	32	35	32	3	2	96	72	168	92	8460000	0.11	0.06	0.02	spneumoniae.S_pseudosimplitigsAC.k_3.d_2	spneumoniae.S_pseudosimplitigsAC.k_3.d_2.M_default
spneumoniae	3	pseudosimplitigsAC	loc-greedy	AC	2	ones	32	35	33	2	1	96	72	168	92	8460000	0.11	0.06	0.02	spneumoniae.S_pseudosimplitigsAC.k_3.d_2	spneumoniae.S_pseudosimplitigsAC.k_3.d_2.M_ones
spneumoniae	3	pseudosimplitigsAC	loc-greedy	AC	2	runs	32	35	33	2	1	96	72	168	92	8460000	0.11	0.06	0.02	spneumoniae.S_pseudosimplitigsAC.k_3.d_2	spneumoniae.S_pseudosimplitigsAC.k_3.d_2.M_runs
spneumoniae	3	pseudosimplitigsAC	loc-greedy	AC	2	zeros	32	35	32	3	2	96	72	168	92	8460000	0.11	0.06	0.02	spneumoniae.S_pseudosimplitigsAC.k_3.d_2	spneumoniae.S_pseudosimplitigsAC.k_3.d_2.M_zeros
spneumoniae	4	pseudosimplitigs	loc-greedy	HT	1	default	136	163	136	27	9	156	84	240	172	8460000	0.17	0.13	0	spneumoniae.S_pseudosimplitigs.k_4.d_1	spneumoniae.S_pseudosimplitigs.k_4.d_1.M_default
spneumoniae	4	pseudosimplitigs	loc-greedy	HT	1	ones	136	163	160	3	1	156	76	232	156	8460000	0.17	0.13	0	spneumoniae.S_pseudosimplitigs.k_4.d_1	spneumoniae.S_pseudosimplitigs.k_4.d_1.M_ones
spneumoniae	4	pseudosimplitigs	loc-greedy	HT	1	runs	136	163	160	3	1	156	76	232	156	8460000	0.17	0.13	0	spneumoniae.S_pseudosimplitigs.k_4.d_1	spneumoniae.S_pseudosimplitigs.k_4.d_1.M_runs
spneumoniae	4	pseudosimplitigs	loc-greedy	HT	1	zeros	136	163	136	27	13	156	92	248	172	8460000	0.17	0.13	0	spneumoniae.S_pseudosimplitigs.k_4.d_1	spneumoniae.S_pseudosimplitigs.k_4.d_1.M_zeros
spneumoniae	4	pseudosimplitigs	loc-greedy	HT	2	default	136	154	136	18	10	148	88	236	164	8420000	0.21	0.17	0	spneumoniae.S_pseudosimplitigs.k_4.d_2	spneumoniae.S_pseudosimplitigs.k_4.d_2.M_default
spneumoniae	4	pseudosimplitigs	loc-greedy	HT	2	ones	136	154	151	3	1	148	76	224	152	8420000	0.21	0.17	0	spneumoniae.S_pseudosimplitigs.k_4.d_2	spneumoniae.S_pseudosimplitigs.k_4.d_2.M_ones
spneumoniae	4	pseudosimplitigs	loc-greedy	HT	2	runs	136	154	151	3	1	148	76	224	152	8420000	0.21	0.17	0	spneumoniae.S_pseudosimplitigs.k_4.d_2	spneumoniae.S_pseudosimplitigs.k_4.d_2.M_runs
spneumoniae	4	pseudosimplitigs	loc-greedy	HT	2	zeros	136	154	136	18	10	148	88	236	164	8420000	0.21	0.17	0	spneumoniae.S_pseudosimplitigs.k_4.d_2	spneumoniae.S_pseudosimplitigs.k_4.d_2.M_zeros
spneumoniae	4	pseudosimplitigs	loc-greedy	HT	3	default	136	151	136	15	10	148	88	236	160	8444000	0.2	0.16	0	spneumoniae.S_pseudosimplitigs.k_4.d_3	spneumoniae.S_pseudosimplitigs.k_4.d_3.M_default
spneumoniae	4	pseudosimplitigs	loc-greedy	HT	3	ones	136	151	148	3	1	148	76	224	152	8444000	0.2	0.16	0	spneumoniae.S_pseudosimplitigs.k_4.d_3	spneumoniae.S_pseudosimplitigs.k_4.d_3.M_ones
spneumoniae	4	pseudosimplitigs	loc-greedy	HT	3	runs	136	151	148	3	1	148	76	224	152	8444000	0.2	0.16	0	spneumoniae.S_pseudosimplitigs.k_4.d_3	spneumoniae.S_pseudosimplitigs.k_4.d_3.M_runs
spneumoniae	4	pseudosimplitigs	loc-greedy	HT	3	zeros	136	151	136	15	10	148	88	236	160	8444000	0.2	0.16	0	spneumoniae.S_pseudosimplitigs.k_4.d_3	spneumoniae.S_pseudosimplitigs.k_4.d_3.M_zeros
spneumoniae	4	pseudosimplitigsAC	loc-greedy	AC	1	default	136	154	136	18	6	160	80	240	172	8460000	0.18	0.15	0	spneumoniae.S_pseudosimplitigsAC.k_4.d_1	spneumoniae.S_pseudosimplitigsAC.k_4.d_1.M_default
spneumoniae	4	pseudosimplitigsAC	loc-greedy	AC	1	ones	136	154	151	3	1	160	76	236	160	8460000	0.18	0.15	0	spneumoniae.S_pseudosimplitigsAC.k_4.d_1	spneumoniae.S_pseudosimplitigsAC.k_4.d_1.M_ones
