pref	genome	rate	S_alg	k	d	real(s)	sys(s)	user(s)	percent_CPU	max_RAM(kb)	FS_inputs	FS_outputs	elapsed_time_alt(s)
escherichia_coli.k32.r_0.3.S_local.k_19.d_1	escherichia_coli.k32	0.3	local	19	1	103.70	17.08	86.30	99%	552600	0	0	103.709271
escherichia_coli.k32.r_0.4.S_local.k_19.d_1	escherichia_coli.k32	0.4	local	19	1	122.03	20.20	101.52	99%	1101480	0	0	122.036834
escherichia_coli.k32.r_0.5.S_local.k_19.d_1	escherichia_coli.k32	0.5	local	19	1	151.95	23.02	128.61	99%	1101480	0	0	151.957682
escherichia_coli.k32.r_0.6.S_local.k_19.d_1	escherichia_coli.k32	0.6	local	19	1	186.99	23.32	163.24	99%	1101476	0	0	186.994086
escherichia_coli.k32.r_0.7.S_local.k_19.d_1	escherichia_coli.k32	0.7	local	19	1	219.33	22.27	196.33	99%	1101480	0	0	219.336321
escherichia_coli.k32.r_0.8.S_local.k_19.d_1	escherichia_coli.k32	0.8	local	19	1	165.98	15.22	150.23	99%	2199220	0	0	165.992267
escherichia_coli.k32.r_0.9.S_local.k_19.d_1	escherichia_coli.k32	0.9	local	19	1	165.42	10.04	154.79	99%	2199220	0	0	165.429677
escherichia_coli.k32.r_1.0.S_local.k_19.d_1	escherichia_coli.k32	1.0	local	19	1	136.50	2.34	134.03	99%	2199240	0	0	136.511094
escherichia_coli.k32.r_0.000000001.S_local.k_19.d_2	escherichia_coli.k32	0.000000001	local	19	2	0.00	0.00	0.00	75%	4068	0	0	0.008065
escherichia_coli.k32.r_0.0001.S_local.k_19.d_2	escherichia_coli.k32	0.0001	local	19	2	0.05	0.00	0.04	100%	4468	0	0	0.055748
escherichia_coli.k32.r_0.001.S_local.k_19.d_2	escherichia_coli.k32	0.001	local	19	2	0.53	0.13	0.39	97%	6256	0	0	0.541861
escherichia_coli.k32.r_0.01.S_local.k_19.d_2	escherichia_coli.k32	0.01	local	19	2	5.50	0.98	4.42	98%	21100	0	0	5.504967
escherichia_coli.k32.r_0.05.S_local.k_19.d_2	escherichia_coli.k32	0.05	local	19	2	31.21	4.59	26.49	99%	141072	0	0	31.218473
escherichia_coli.k32.r_0.1.S_local.k_19.d_2	escherichia_coli.k32	0.1	local	19	2	55.90	7.15	48.59	99%	278160	0	0	55.906535
escherichia_coli.k32.r_0.2.S_local.k_19.d_2	escherichia_coli.k32	0.2	local	19	2	109.89	11.01	98.59	99%	552592	0	0	109.896039
escherichia_coli.k32.r_0.3.S_local.k_19.d_2	escherichia_coli.k32	0.3	local	19	2	208.14	14.53	193.20	99%	552600	0	0	208.145807
escherichia_coli.k32.r_0.4.S_local.k_19.d_2	escherichia_coli.k32	0.4	local	19	2	167.51	12.17	154.97	99%	1101480	0	0	167.522359
escherichia_coli.k32.r_0.5.S_local.k_19.d_2	escherichia_coli.k32	0.5	local	19	2	215.14	12.44	202.42	99%	1101480	0	0	215.146221
escherichia_coli.k32.r_0.6.S_local.k_19.d_2	escherichia_coli.k32	0.6	local	19	2	263.79	10.95	252.16	99%	1101480	0	0	263.794118
escherichia_coli.k32.r_0.7.S_local.k_19.d_2	escherichia_coli.k32	0.7	local	19	2	291.45	8.62	282.15	99%	1101480	0	0	291.456978
escherichia_coli.k32.r_0.8.S_local.k_19.d_2	escherichia_coli.k32	0.8	local	19	2	195.79	5.47	189.63	99%	2199240	0	0	195.800088
escherichia_coli.k32.r_0.9.S_local.k_19.d_2	escherichia_coli.k32	0.9	local	19	2	188.36	3.70	183.81	99%	2199240	0	0	188.370066
escherichia_coli.k32.r_1.0.S_local.k_19.d_2	escherichia_coli.k32	1.0	local	19	2	157.84	2.43	155.27	99%	2199240	0	0	157.851856
escherichia_coli.k32.r_0.000000001.S_local.k_19.d_3	escherichia_coli.k32	0.000000001	local	19	3	0.00	0.00	0.00	75%	4068	0	0	0.00799
escherichia_coli.k32.r_0.0001.S_local.k_19.d_3	escherichia_coli.k32	0.0001	local	19	3	0.10	0.01	0.08	96%	4468	0	0	0.113267
escherichia_coli.k32.r_0.001.S_local.k_19.d_3	escherichia_coli.k32	0.001	local	19	3	1.15	0.11	1.03	98%	6256	0	0	1.160042
escherichia_coli.k32.r_0.01.S_local.k_19.d_3	escherichia_coli.k32	0.01	local	19	3	17.07	0.96	16.02	99%	21100	0	0	17.079779
escherichia_coli.k32.r_0.05.S_local.k_19.d_3	escherichia_coli.k32	0.05	local	19	3	79.44	4.21	75.06	99%	141072	0	0	79.445687
escherichia_coli.k32.r_0.1.S_local.k_19.d_3	escherichia_coli.k32	0.1	local	19	3	145.96	7.53	138.17	99%	278160	0	0	145.969718
escherichia_coli.k32.r_0.2.S_local.k_19.d_3	escherichia_coli.k32	0.2	local	19	3	256.64	9.28	246.87	99%	552596	0	0	256.647012
escherichia_coli.k32.r_0.3.S_local.k_19.d_3	escherichia_coli.k32	0.3	local	19	3	492.35	11.80	480.05	99%	552600	0	0	492.360847
escherichia_coli.k32.r_0.4.S_local.k_19.d_3	escherichia_coli.k32	0.4	local	19	3	339.52	8.88	330.21	99%	1101480	0	0	339.526031
escherichia_coli.k32.r_0.5.S_local.k_19.d_3	escherichia_coli.k32	0.5	local	19	3	399.87	7.95	391.51	99%	1101480	0	0	399.873597
escherichia_coli.k32.r_0.6.S_local.k_19.d_3	escherichia_coli.k32	0.6	local	19	3	405.82	5.76	399.33	99%	1101480	0	0	405.830432
escherichia_coli.k32.r_0.7.S_local.k_19.d_3	escherichia_coli.k32	0.7	local	19	3	411.59	4.31	406.61	99%	1101480	0	0	411.59906
escherichia_coli.k32.r_0.8.S_local.k_19.d_3	escherichia_coli.k32	0.8	local	19	3	223.72	3.32	219.80	99%	2199240	0	0	223.733261
escherichia_coli.k32.r_0.9.S_local.k_19.d_3	escherichia_coli.k32	0.9	local	19	3	206.95	3.01	203.13	99%	2199240	0	0	206.963776
escherichia_coli.k32.r_1.0.S_local.k_19.d_3	escherichia_coli.k32	1.0	local	19	3	198.51	2.20	196.16	99%	2199240	0	0	198.514621
escherichia_coli.k32.r_0.000000001.S_local.k_19.d_4	escherichia_coli.k32	0.000000001	local	19	4	0.00	0.00	0.00	75%	4068	0	0	0.007799
escherichia_coli.k32.r_0.0001.S_local.k_19.d_4	escherichia_coli.k32	0.0001	local	19	4	0.28	0.01	0.26	98%	4468	0	0	0.288637
escherichia_coli.k32.r_0.001.S_local.k_19.d_4	escherichia_coli.k32	0.001	local	19	4	3.67	0.08	3.58	99%	6256	0	0	3.680657
escherichia_coli.k32.r_0.01.S_local.k_19.d_4	escherichia_coli.k32	0.01	local	19	4	49.97	0.94	48.92	99%	21100	0	0	49.973941
escherichia_coli.k32.r_0.05.S_local.k_19.d_4	escherichia_coli.k32	0.05	local	19	4	243.44	4.40	238.73	99%	141072	0	0	243.447086
escherichia_coli.k32.r_0.1.S_local.k_19.d_4	escherichia_coli.k32	0.1	local	19	4	398.37	6.30	391.64	99%	278160	0	0	398.380347
escherichia_coli.k32.r_0.2.S_local.k_19.d_4	escherichia_coli.k32	0.2	local	19	4	743.20	9.32	733.17	99%	552600	0	0	743.207406
escherichia_coli.k32.r_0.3.S_local.k_19.d_4	escherichia_coli.k32	0.3	local	19	4	1175.58	8.64	1165.85	99%	552600	0	0	1175.591527
escherichia_coli.k32.r_0.4.S_local.k_19.d_4	escherichia_coli.k32	0.4	local	19	4	776.11	6.89	768.55	99%	1101480	0	0	776.118628
escherichia_coli.k32.r_0.5.S_local.k_19.d_4	escherichia_coli.k32	0.5	local	19	4	781.05	5.88	774.50	99%	1101480	0	0	781.054142
escherichia_coli.k32.r_0.6.S_local.k_19.d_4	escherichia_coli.k32	0.6	local	19	4	750.93	4.38	745.57	99%	1101480	0	0	750.935939
escherichia_coli.k32.r_0.7.S_local.k_19.d_4	escherichia_coli.k32	0.7	local	19	4	783.32	4.02	778.32	99%	1101480	0	0	783.327995
escherichia_coli.k32.r_0.8.S_local.k_19.d_4	escherichia_coli.k32	0.8	local	19	4	369.92	3.19	365.95	99%	2199240	0	0	369.925382
escherichia_coli.k32.r_0.9.S_local.k_19.d_4	escherichia_coli.k32	0.9	local	19	4	353.25	3.05	349.37	99%	2199240	0	0	353.259408
escherichia_coli.k32.r_1.0.S_local.k_19.d_4	escherichia_coli.k32	1.0	local	19	4	322.55	2.24	320.09	99%	2199240	0	0	322.560492
escherichia_coli.k32.r_0.000000001.S_local.k_19.d_5	escherichia_coli.k32	0.000000001	local	19	5	0.00	0.00	0.00	100%	4068	0	0	0.008052
escherichia_coli.k32.r_0.0001.S_local.k_19.d_5	escherichia_coli.k32	0.0001	local	19	5	1.05	0.01	1.04	99%	4468	0	0	1.061465
escherichia_coli.k32.r_0.001.S_local.k_19.d_5	escherichia_coli.k32	0.001	local	19	5	13.72	0.14	13.56	99%	6256	0	0	13.731361
escherichia_coli.k32.r_0.01.S_local.k_19.d_5	escherichia_coli.k32	0.01	local	19	5	219.77	1.33	218.26	99%	21100	0	0	219.780777
escherichia_coli.k32.r_0.05.S_local.k_19.d_5	escherichia_coli.k32	0.05	local	19	5	767.50	4.44	762.55	99%	141072	0	0	767.512642
escherichia_coli.k32.r_0.1.S_local.k_19.d_5	escherichia_coli.k32	0.1	local	19	5	1306.04	5.86	1299.22	99%	278160	0	0	1306.045342
escherichia_coli.k32.r_0.2.S_local.k_19.d_5	escherichia_coli.k32	0.2	local	19	5	2131.37	8.67	2121.17	99%	552600	0	0	2131.384104
escherichia_coli.k32.r_0.3.S_local.k_19.d_5	escherichia_coli.k32	0.3	local	19	5	3101.14	7.48	3091.25	99%	552600	0	0	3101.147344
escherichia_coli.k32.r_0.4.S_local.k_19.d_5	escherichia_coli.k32	0.4	local	19	5	2100.12	6.85	2091.72	99%	1101480	0	0	2100.133375
escherichia_coli.k32.r_0.5.S_local.k_19.d_5	escherichia_coli.k32	0.5	local	19	5	1854.61	5.84	1847.32	99%	1101456	0	0	1854.618976
escherichia_coli.k32.r_0.6.S_local.k_19.d_5	escherichia_coli.k32	0.6	local	19	5	1891.19	4.72	1884.95	99%	1101480	0	0	1891.193574
escherichia_coli.k32.r_0.7.S_local.k_19.d_5	escherichia_coli.k32	0.7	local	19	5	1891.26	4.26	1885.37	99%	1101480	0	0	1891.26584
escherichia_coli.k32.r_0.8.S_local.k_19.d_5	escherichia_coli.k32	0.8	local	19	5	831.78	3.32	827.36	99%	2199240	0	0	831.783292
escherichia_coli.k32.r_0.9.S_local.k_19.d_5	escherichia_coli.k32	0.9	local	19	5	794.48	3.31	790.13	99%	2199240	0	0	794.490318
escherichia_coli.k32.r_1.0.S_local.k_19.d_5	escherichia_coli.k32	1.0	local	19	5	813.06	2.50	810.08	99%	2199240	0	0	813.07044
escherichia_coli.k32.r_0.000000001.S_global.k_23.d_na	escherichia_coli.k32	0.000000001	global	23	na	0.00	0.00	0.00	100%	4072	0	0	0.007131
escherichia_coli.k32.r_0.0001.S_global.k_23.d_na	escherichia_coli.k32	0.0001	global	23	na	0.15	0.00	0.14	95%	4444	0	0	0.154689
escherichia_coli.k32.r_0.001.S_global.k_23.d_na	escherichia_coli.k32	0.001	global	23	na	1.78	0.01	1.71	97%	10368	0	0	1.79003
escherichia_coli.k32.r_0.01.S_global.k_23.d_na	escherichia_coli.k32	0.01	global	23	na	18.61	0.05	18.36	98%	68724	0	0	18.61905
escherichia_coli.k32.r_0.05.S_global.k_23.d_na	escherichia_coli.k32	0.05	global	23	na	83.69	0.37	82.96	99%	340984	144	0	83.695511
escherichia_coli.k32.r_0.1.S_global.k_23.d_na	escherichia_coli.k32	0.1	global	23	na	143.50	0.33	142.73	99%	678156	0	0	143.505863
escherichia_coli.k32.r_0.2.S_global.k_23.d_na	escherichia_coli.k32	0.2	global	23	na	199.55	0.61	198.21	99%	1352496	0	0	199.558423
escherichia_coli.k32.r_0.3.S_global.k_23.d_na	escherichia_coli.k32	0.3	global	23	na	269.71	0.81	268.03	99%	1960304	0	0	269.714407
escherichia_coli.k32.r_0.4.S_global.k_23.d_na	escherichia_coli.k32	0.4	global	23	na	284.70	1.22	282.55	99%	2701180	0	0	284.711684
escherichia_coli.k32.r_0.5.S_global.k_23.d_na	escherichia_coli.k32	0.5	global	23	na	356.74	1.60	353.79	99%	3308968	0	0	356.748403
escherichia_coli.k32.r_0.6.S_global.k_23.d_na	escherichia_coli.k32	0.6	global	23	na	420.89	1.72	417.56	99%	3916748	0	0	420.899423
escherichia_coli.k32.r_0.7.S_global.k_23.d_na	escherichia_coli.k32	0.7	global	23	na	441.73	2.02	438.11	99%	4524532	0	0	441.742272
escherichia_coli.k32.r_0.8.S_global.k_23.d_na	escherichia_coli.k32	0.8	global	23	na	418.77	2.31	415.04	99%	5398560	0	0	418.774499
escherichia_coli.k32.r_0.9.S_global.k_23.d_na	escherichia_coli.k32	0.9	global	23	na	490.31	3.10	484.36	99%	6006340	0	0	490.317339
escherichia_coli.k32.r_1.0.S_global.k_23.d_na	escherichia_coli.k32	1.0	global	23	na	450.02	2.05	447.57	99%	6614120	0	0	450.027762
escherichia_coli.k32.r_0.000000001.S_local.k_23.d_1	escherichia_coli.k32	0.000000001	local	23	1	0.00	0.00	0.00	75%	4068	0	0	0.008069
escherichia_coli.k32.r_0.0001.S_local.k_23.d_1	escherichia_coli.k32	0.0001	local	23	1	0.03	0.01	0.02	94%	4464	0	0	0.043211
escherichia_coli.k32.r_0.001.S_local.k_23.d_1	escherichia_coli.k32	0.001	local	23	1	0.38	0.09	0.27	93%	6260	0	0	0.393522
escherichia_coli.k32.r_0.01.S_local.k_23.d_1	escherichia_coli.k32	0.01	local	23	1	4.20	0.91	3.14	96%	21100	0	0	4.207498
escherichia_coli.k32.r_0.05.S_local.k_23.d_1	escherichia_coli.k32	0.05	local	23	1	17.77	3.86	13.64	98%	141072	0	0	17.781974
escherichia_coli.k32.r_0.1.S_local.k_23.d_1	escherichia_coli.k32	0.1	local	23	1	35.57	7.04	28.14	98%	278156	0	0	35.580477
escherichia_coli.k32.r_0.2.S_local.k_23.d_1	escherichia_coli.k32	0.2	local	23	1	81.57	14.45	66.53	99%	552600	0	0	81.582468
escherichia_coli.k32.r_0.3.S_local.k_23.d_1	escherichia_coli.k32	0.3	local	23	1	118.48	19.40	98.52	99%	552600	0	0	118.488115
escherichia_coli.k32.r_0.4.S_local.k_23.d_1	escherichia_coli.k32	0.4	local	23	1	149.97	23.18	125.95	99%	1101476	0	0	149.975957
escherichia_coli.k32.r_0.5.S_local.k_23.d_1	escherichia_coli.k32	0.5	local	23	1	166.10	22.65	142.71	99%	1101476	0	0	166.105684
escherichia_coli.k32.r_0.6.S_local.k_23.d_1	escherichia_coli.k32	0.6	local	23	1	224.17	26.97	196.38	99%	1101452	0	0	224.183368
escherichia_coli.k32.r_0.7.S_local.k_23.d_1	escherichia_coli.k32	0.7	local	23	1	262.88	25.29	236.39	99%	1101476	0	0	262.893182
escherichia_coli.k32.r_0.8.S_local.k_23.d_1	escherichia_coli.k32	0.8	local	23	1	205.16	17.96	185.94	99%	2199240	0	0	205.173138
escherichia_coli.k32.r_0.9.S_local.k_23.d_1	escherichia_coli.k32	0.9	local	23	1	188.28	10.53	176.24	99%	2199240	0	0	188.289578
escherichia_coli.k32.r_1.0.S_local.k_23.d_1	escherichia_coli.k32	1.0	local	23	1	158.08	2.48	155.41	99%	2199212	0	0	158.084998
escherichia_coli.k32.r_0.000000001.S_local.k_23.d_2	escherichia_coli.k32	0.000000001	local	23	2	0.00	0.00	0.00	100%	4068	0	0	0.008431
escherichia_coli.k32.r_0.0001.S_local.k_23.d_2	escherichia_coli.k32	0.0001	local	23	2	0.06	0.01	0.04	90%	4464	0	0	0.066276
escherichia_coli.k32.r_0.001.S_local.k_23.d_2	escherichia_coli.k32	0.001	local	23	2	0.57	0.14	0.41	96%	6260	0	0	0.579257
escherichia_coli.k32.r_0.01.S_local.k_23.d_2	escherichia_coli.k32	0.01	local	23	2	7.58	1.10	6.32	97%	21100	0	0	7.59102
escherichia_coli.k32.r_0.05.S_local.k_23.d_2	escherichia_coli.k32	0.05	local	23	2	32.71	4.58	27.87	99%	141072	0	0	32.722821
escherichia_coli.k32.r_0.1.S_local.k_23.d_2	escherichia_coli.k32	0.1	local	23	2	70.52	8.92	61.20	99%	278160	0	0	70.529323
escherichia_coli.k32.r_0.2.S_local.k_23.d_2	escherichia_coli.k32	0.2	local	23	2	142.54	12.81	129.06	99%	552600	0	0	142.552318
escherichia_coli.k32.r_0.3.S_local.k_23.d_2	escherichia_coli.k32	0.3	local	23	2	267.23	14.46	251.87	99%	552600	0	0	267.23442
escherichia_coli.k32.r_0.4.S_local.k_23.d_2	escherichia_coli.k32	0.4	local	23	2	211.54	12.82	197.93	99%	1101476	0	0	211.543703
escherichia_coli.k32.r_0.5.S_local.k_23.d_2	escherichia_coli.k32	0.5	local	23	2	255.47	13.60	240.67	99%	1101476	0	0	255.481296
escherichia_coli.k32.r_0.6.S_local.k_23.d_2	escherichia_coli.k32	0.6	local	23	2	321.97	11.63	309.46	99%	1101476	0	0	321.977714
escherichia_coli.k32.r_0.7.S_local.k_23.d_2	escherichia_coli.k32	0.7	local	23	2	346.22	9.14	335.79	99%	1101476	0	0	346.224459
escherichia_coli.k32.r_0.8.S_local.k_23.d_2	escherichia_coli.k32	0.8	local	23	2	204.88	5.22	198.20	99%	2199240	0	0	204.887122
escherichia_coli.k32.r_0.9.S_local.k_23.d_2	escherichia_coli.k32	0.9	local	23	2	197.81	3.64	192.53	99%	2199240	0	0	197.822106
escherichia_coli.k32.r_1.0.S_local.k_23.d_2	escherichia_coli.k32	1.0	local	23	2	167.95	2.19	165.59	99%	2199240	0	0	167.960188
escherichia_coli.k32.r_0.000000001.S_local.k_23.d_3	escherichia_coli.k32	0.000000001	local	23	3	0.00	0.00	0.00	100%	4068	0	0	0.007938
escherichia_coli.k32.r_0.0001.S_local.k_23.d_3	escherichia_coli.k32	0.0001	local	23	3	0.13	0.01	0.12	94%	4464	0	0	0.142005
escherichia_coli.k32.r_0.001.S_local.k_23.d_3	escherichia_coli.k32	0.001	local	23	3	1.51	0.06	1.42	98%	6260	0	0	1.51781
escherichia_coli.k32.r_0.01.S_local.k_23.d_3	escherichia_coli.k32	0.01	local	23	3	20.52	1.16	19.07	98%	21100	0	0	20.53205
escherichia_coli.k32.r_0.05.S_local.k_23.d_3	escherichia_coli.k32	0.05	local	23	3	98.00	4.19	93.62	99%	141064	0	0	98.010669
escherichia_coli.k32.r_0.1.S_local.k_23.d_3	escherichia_coli.k32	0.1	local	23	3	180.07	7.88	171.75	99%	278160	0	0	180.074974
escherichia_coli.k32.r_0.2.S_local.k_23.d_3	escherichia_coli.k32	0.2	local	23	3	343.81	11.91	331.09	99%	552600	0	0	343.818303
escherichia_coli.k32.r_0.3.S_local.k_23.d_3	escherichia_coli.k32	0.3	local	23	3	611.24	13.20	596.97	99%	552600	0	0	611.243555
escherichia_coli.k32.r_0.4.S_local.k_23.d_3	escherichia_coli.k32	0.4	local	23	3	438.64	10.38	427.23	99%	1101476	0	0	438.645426
escherichia_coli.k32.r_0.5.S_local.k_23.d_3	escherichia_coli.k32	0.5	local	23	3	453.59	9.17	443.41	99%	1101476	0	0	453.596037
escherichia_coli.k32.r_0.6.S_local.k_23.d_3	escherichia_coli.k32	0.6	local	23	3	478.94	6.21	471.57	99%	1101476	0	0	478.944663
escherichia_coli.k32.r_0.7.S_local.k_23.d_3	escherichia_coli.k32	0.7	local	23	3	471.98	4.74	465.85	99%	1101476	0	0	471.987076
escherichia_coli.k32.r_0.8.S_local.k_23.d_3	escherichia_coli.k32	0.8	local	23	3	275.39	3.81	269.05	99%	2199292	0	0	275.401788
escherichia_coli.k32.r_0.9.S_local.k_23.d_3	escherichia_coli.k32	0.9	local	23	3	244.26	2.94	240.17	99%	2199320	0	0	244.266467
escherichia_coli.k32.r_1.0.S_local.k_23.d_3	escherichia_coli.k32	1.0	local	23	3	209.11	2.20	206.71	99%	2199240	0	0	209.113381
escherichia_coli.k32.r_0.000000001.S_local.k_23.d_4	escherichia_coli.k32	0.000000001	local	23	4	0.00	0.00	0.00	100%	4068	0	0	0.007814
escherichia_coli.k32.r_0.0001.S_local.k_23.d_4	escherichia_coli.k32	0.0001	local	23	4	0.38	0.01	0.37	100%	4464	0	0	0.391628
escherichia_coli.k32.r_0.001.S_local.k_23.d_4	escherichia_coli.k32	0.001	local	23	4	4.86	0.14	4.70	99%	6260	0	0	4.868445
escherichia_coli.k32.r_0.01.S_local.k_23.d_4	escherichia_coli.k32	0.01	local	23	4	63.20	1.07	61.98	99%	21100	0	0	63.208081
escherichia_coli.k32.r_0.05.S_local.k_23.d_4	escherichia_coli.k32	0.05	local	23	4	268.57	4.62	263.53	99%	141072	0	0	268.577404
escherichia_coli.k32.r_0.1.S_local.k_23.d_4	escherichia_coli.k32	0.1	local	23	4	543.37	7.92	534.74	99%	278156	0	0	543.375939
escherichia_coli.k32.r_0.2.S_local.k_23.d_4	escherichia_coli.k32	0.2	local	23	4	852.20	9.96	841.08	99%	552600	0	0	852.211726
escherichia_coli.k32.r_0.3.S_local.k_23.d_4	escherichia_coli.k32	0.3	local	23	4	1522.13	10.28	1509.71	99%	552600	0	0	1522.141291
escherichia_coli.k32.r_0.4.S_local.k_23.d_4	escherichia_coli.k32	0.4	local	23	4	941.52	8.31	931.74	99%	1101476	0	0	941.525529
escherichia_coli.k32.r_0.5.S_local.k_23.d_4	escherichia_coli.k32	0.5	local	23	4	937.59	6.89	929.22	99%	1101452	0	0	937.600559
escherichia_coli.k32.r_0.6.S_local.k_23.d_4	escherichia_coli.k32	0.6	local	23	4	948.97	4.93	942.56	99%	1101476	0	0	948.974364
escherichia_coli.k32.r_0.7.S_local.k_23.d_4	escherichia_coli.k32	0.7	local	23	4	872.13	3.84	866.97	99%	1101476	0	0	872.140407
escherichia_coli.k32.r_0.8.S_local.k_23.d_4	escherichia_coli.k32	0.8	local	23	4	359.89	2.94	355.55	99%	2199240	0	0	359.894424
escherichia_coli.k32.r_0.9.S_local.k_23.d_4	escherichia_coli.k32	0.9	local	23	4	367.25	3.28	362.64	99%	2199320	0	0	367.25887
escherichia_coli.k32.r_1.0.S_local.k_23.d_4	escherichia_coli.k32	1.0	local	23	4	339.67	2.36	337.03	99%	2199240	0	0	339.674998
escherichia_coli.k32.r_0.000000001.S_local.k_23.d_5	escherichia_coli.k32	0.000000001	local	23	5	0.00	0.00	0.00	100%	4068	0	0	0.008131
escherichia_coli.k32.r_0.0001.S_local.k_23.d_5	escherichia_coli.k32	0.0001	local	23	5	1.23	0.02	1.20	99%	4464	0	0	1.238523
escherichia_coli.k32.r_0.001.S_local.k_23.d_5	escherichia_coli.k32	0.001	local	23	5	16.94	0.12	16.78	99%	6260	0	0	16.944492
escherichia_coli.k32.r_0.01.S_local.k_23.d_5	escherichia_coli.k32	0.01	local	23	5	259.95	1.44	258.18	99%	21100	0	0	259.961168
escherichia_coli.k32.r_0.05.S_local.k_23.d_5	escherichia_coli.k32	0.05	local	23	5	937.76	5.18	931.79	99%	141072	0	0	937.766348
escherichia_coli.k32.r_0.1.S_local.k_23.d_5	escherichia_coli.k32	0.1	local	23	5	1687.06	8.29	1677.49	99%	278160	0	0	1687.07223
escherichia_coli.k32.r_0.2.S_local.k_23.d_5	escherichia_coli.k32	0.2	local	23	5	2599.74	10.14	2587.51	99%	552600	0	0	2599.749736
escherichia_coli.k32.r_0.3.S_local.k_23.d_5	escherichia_coli.k32	0.3	local	23	5	4161.86	10.25	4148.15	99%	552600	0	0	4161.871254
escherichia_coli.k32.r_0.4.S_local.k_23.d_5	escherichia_coli.k32	0.4	local	23	5	2204.90	7.52	2195.36	99%	1101476	0	0	2204.906579
escherichia_coli.k32.r_0.5.S_local.k_23.d_5	escherichia_coli.k32	0.5	local	23	5	1987.24	5.81	1979.34	99%	1101448	0	0	1987.25077
escherichia_coli.k32.r_0.6.S_local.k_23.d_5	escherichia_coli.k32	0.6	local	23	5	2005.84	4.88	1998.69	99%	1101476	0	0	2005.848659
escherichia_coli.k32.r_0.7.S_local.k_23.d_5	escherichia_coli.k32	0.7	local	23	5	1837.89	3.82	1831.71	99%	1101476	0	0	1837.898997
escherichia_coli.k32.r_0.8.S_local.k_23.d_5	escherichia_coli.k32	0.8	local	23	5	799.02	3.53	794.05	99%	2199240	0	0	799.027346
escherichia_coli.k32.r_0.9.S_local.k_23.d_5	escherichia_coli.k32	0.9	local	23	5	798.29	3.68	793.32	99%	2199356	0	0	798.296698
escherichia_coli.k32.r_1.0.S_local.k_23.d_5	escherichia_coli.k32	1.0	local	23	5	766.23	2.50	763.18	99%	2199368	0	0	766.234717
escherichia_coli.k32.r_0.000000001.S_global.k_31.d_na	escherichia_coli.k32	0.000000001	global	31	na	0.00	0.00	0.00	100%	4072	0	0	0.008235
escherichia_coli.k32.r_0.0001.S_global.k_31.d_na	escherichia_coli.k32	0.0001	global	31	na	0.28	0.00	0.26	93%	4456	0	0	0.286149
escherichia_coli.k32.r_0.001.S_global.k_31.d_na	escherichia_coli.k32	0.001	global	31	na	2.88	0.01	2.81	97%	11256	0	0	2.891399
escherichia_coli.k32.r_0.01.S_global.k_31.d_na	escherichia_coli.k32	0.01	global	31	na	19.37	0.05	19.01	98%	81064	0	0	19.381733
escherichia_coli.k32.r_0.05.S_global.k_31.d_na	escherichia_coli.k32	0.05	global	31	na	123.01	0.33	121.71	99%	381812	0	0	123.016644
escherichia_coli.k32.r_0.1.S_global.k_31.d_na	escherichia_coli.k32	0.1	global	31	na	206.25	0.54	203.45	98%	759824	0	0	206.258298
escherichia_coli.k32.r_0.2.S_global.k_31.d_na	escherichia_coli.k32	0.2	global	31	na	286.55	0.86	282.12	98%	1515836	0	0	286.554659
escherichia_coli.k32.r_0.3.S_global.k_31.d_na	escherichia_coli.k32	0.3	global	31	na	387.01	1.43	379.94	98%	2205292	0	0	387.016231
escherichia_coli.k32.r_0.4.S_global.k_31.d_na	escherichia_coli.k32	0.4	global	31	na	418.16	1.82	410.15	98%	3027864	0	0	418.169384
escherichia_coli.k32.r_0.5.S_global.k_31.d_na	escherichia_coli.k32	0.5	global	31	na	455.80	2.28	446.97	98%	3717312	0	0	455.813628
escherichia_coli.k32.r_0.6.S_global.k_31.d_na	escherichia_coli.k32	0.6	global	31	na	521.63	2.29	512.52	98%	4406772	0	0	521.634589
escherichia_coli.k32.r_0.7.S_global.k_31.d_na	escherichia_coli.k32	0.7	global	31	na	519.77	3.02	510.67	98%	5362468	0	0	519.774789
escherichia_coli.k32.r_0.8.S_global.k_31.d_na	escherichia_coli.k32	0.8	global	31	na	567.38	3.37	556.78	98%	6051920	0	0	567.390957
escherichia_coli.k32.r_0.9.S_global.k_31.d_na	escherichia_coli.k32	0.9	global	31	na	655.47	4.49	638.85	98%	6741372	0	0	655.48406
escherichia_coli.k32.r_1.0.S_global.k_31.d_na	escherichia_coli.k32	1.0	global	31	na	547.85	2.10	544.96	99%	7430820	0	0	547.856374
escherichia_coli.k32.r_0.000000001.S_local.k_31.d_1	escherichia_coli.k32	0.000000001	local	31	1	0.00	0.00	0.00	100%	4068	0	0	0.006772
escherichia_coli.k32.r_0.0001.S_local.k_31.d_1	escherichia_coli.k32	0.0001	local	31	1	0.05	0.01	0.03	84%	4468	0	0	0.055889
escherichia_coli.k32.r_0.001.S_local.k_31.d_1	escherichia_coli.k32	0.001	local	31	1	0.40	0.07	0.29	93%	6260	0	0	0.404013
escherichia_coli.k32.r_0.01.S_local.k_31.d_1	escherichia_coli.k32	0.01	local	31	1	4.72	0.97	3.43	93%	37996	0	0	4.723574
escherichia_coli.k32.r_0.05.S_local.k_31.d_1	escherichia_coli.k32	0.05	local	31	1	25.73	4.90	19.66	95%	141072	0	0	25.739828
